Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,A,B,C,D,alpha,beta,split_k_mode,split_k_slices,batch_count,raster_order,runtime_input_datatype_a,runtime_input_datatype_b,use_pdl,enable_sm90_mixed_dtype_shuffle_test,swizzle_size,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
17,CUTLASS,gemm,cutlass_tensorop_h884gemm_256x128_32x2_nn_align8,passed,success,universal,128,512,512,f16:column,f16:column,f16:column,f16:column,1,0,serial,2,1,heuristic,invalid,invalid,false,false,1,tensorop,f16,256,128,32,1,1,1,1,1,1,2,4,2,1,16,16,4,70,75,786432,67239936,85,0.0333853,21.9385,2014.06
17,CUTLASS,gemm,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,passed,success,universal,128,512,512,f16:column,f16:column,f16:column,f16:column,1,0,serial,2,1,heuristic,invalid,invalid,false,false,1,tensorop,f16,256,128,32,1,1,1,1,1,1,2,4,2,1,16,8,8,75,1024,786432,67239936,85,0.0223024,32.8405,3014.92
18,CUTLASS,gemm,cutlass_simt_hgemm_256x128_8x2_nn_align1,passed,success,universal,256,512,512,f16:column,f16:column,f16:column,f16:column,1,0,serial,2,1,heuristic,invalid,invalid,false,false,1,simt,f16,256,128,8,1,1,1,1,1,1,2,4,2,1,1,1,1,50,1024,1048576,134479872,128,0.0683818,14.281,1966.6
18,CUTLASS,gemm,cutlass_tensorop_h884gemm_256x128_32x2_nn_align8,passed,success,universal,256,512,512,f16:column,f16:column,f16:column,f16:column,1,0,serial,2,1,heuristic,invalid,invalid,false,false,1,tensorop,f16,256,128,32,1,1,1,1,1,1,2,4,2,1,16,16,4,70,75,1048576,134479872,128,0.0334438,29.2001,4021.07
18,CUTLASS,gemm,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,passed,success,universal,256,512,512,f16:column,f16:column,f16:column,f16:column,1,0,serial,2,1,heuristic,invalid,invalid,false,false,1,tensorop,f16,256,128,32,1,1,1,1,1,1,2,4,2,1,16,8,8,75,1024,1048576,134479872,128,0.0227037,43.0134,5923.26
19,CUTLASS,gemm,cutlass_simt_hgemm_256x128_8x2_nn_align1,passed,success,universal,384,512,512,f16:column,f16:column,f16:column,f16:column,1,0,serial,2,1,heuristic,invalid,invalid,false,false,1,simt,f16,256,128,8,1,1,1,1,1,1,2,4,2,1,1,1,1,50,1024,1310720,201719808,153,0.0688576,17.7279,2929.52
19,CUTLASS,gemm,cutlass_tensorop_h884gemm_256x128_32x2_nn_align8,passed,success,universal,384,512,512,f16:column,f16:column,f16:column,f16:column,1,0,serial,2,1,heuristic,invalid,invalid,false,false,1,tensorop,f16,256,128,32,1,1,1,1,1,1,2,4,2,1,16,16,4,70,75,1310720,201719808,153,0.0337469,36.1723,5977.44
19,CUTLASS,gemm,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,passed,success,universal,384,512,512,f16:column,f16:column,f16:column,f16:column,1,0,serial,2,1,heuristic,invalid,invalid,false,false,1,tensorop,f16,256,128,32,1,1,1,1,1,1,2,4,2,1,16,8,8,75,1024,1310720,201719808,153,0.0228515,53.4189,8827.41
20,CUTLASS,gemm,cutlass_simt_hgemm_256x128_8x2_nn_align1,passed,success,universal,512,512,512,f16:column,f16:column,f16:column,f16:column,1,0,serial,2,1,heuristic,invalid,invalid,false,false,1,simt,f16,256,128,8,1,1,1,1,1,1,2,4,2,1,1,1,1,50,1024,1572864,268959744,171,0.0688208,21.2849,3908.12
20,CUTLASS,gemm,cutlass_tensorop_h884gemm_256x128_32x2_nn_align8,passed,success,universal,512,512,512,f16:column,f16:column,f16:column,f16:column,1,0,serial,2,1,heuristic,invalid,invalid,false,false,1,tensorop,f16,256,128,32,1,1,1,1,1,1,2,4,2,1,16,16,4,70,75,1572864,268959744,171,0.033728,43.4311,7974.38
20,CUTLASS,gemm,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,passed,success,universal,512,512,512,f16:column,f16:column,f16:column,f16:column,1,0,serial,2,1,heuristic,invalid,invalid,false,false,1,tensorop,f16,256,128,32,1,1,1,1,1,1,2,4,2,1,16,8,8,75,1024,1572864,268959744,171,0.0227542,64.3767,11820.2
